mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
DIST_REG_Georgetown Divide Public Utility District,"It is the purpose of the Georgetown Divide Public Utility District to: Provide reliable water supplies, Ensure high quality drinking water,
Promote stewardship to protect community resources, public health and quality of life,
Provide excellent and responsive customer services through dedicated and valued staff,
Ensure fiscal responsibility and accountability are observed by balancing immediate and long term needs.",Yes,Watershed protection,,,,https://www.gd-pud.org/mission-statement,,
DIST_REG_Georgetown Divide Recreation District,"The Georgetown Divide Recreation District is committed to providing recreational opportunities that will enhance the quality of life in our community. This requires the District to acquire, develop, maintain, and operate parks, recreational facilities and programs, and to preserve and protect our area's natural and historic resources for current and future generations.",Yes,Recreation/parks/Trails/greenways,,,,https://www.bayleyhouse.net/about-fbh/gdrd-district,,
DIST_REG_Goleta Cemetery District,"The Goleta Cemetery District provides respectful interment services to meet the cultural,
religious, and social needs of the bereaved.",Yes,Cultural,,,,http://www.goletacemetery.com/,,
DIST_REG_Gonzales Cemetery District,,No,Cultural,,,,https://www.imortuary.com/funeral-homes/california/gonzales/gonzales-cemetery-district/,,
DIST_REG_Greater Vallejo Recreation and Park District,"Building community and enhancing quality of life through people, parks, and programs.",Yes,Recreation/parks/Trails/greenways,,,,https://www.gvrd.org/about-us/,,
DIST_REG_Greenfield Cemetery District,,No,Cultural,,,,https://ci.greenfield.ca.us/278/Greenfield-Cemetery-District,,
DIST_REG_Greenfield Public Recreation District,,No,Recreation/parks/Trails/greenways,,,,https://ci.greenfield.ca.us/277/Greenfield-Public-Recreation-District,,
DIST_REG_Groveland Community Services District,"Our mission  is to provide environmentally sound, economic, and compliant services that meet our customer's needs for water and wastewater treatment, fire protection, and park facilities in the unincorporated township of Groveland, California",Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://www.gcsd.org/our-mission,,
DIST_REG_Guadalupe Cemetery District,,No,Cultural,,,,https://guadalupecemetery.wixsite.com/website,,
DIST_REG_Happy Camp Community Services District,,No,Recreation/parks/Trails/greenways,Watershed protection,,,https://www.happycampcsd.com/,,
DIST_REG_Hayward Area Recreation and Park District,"Our mission is to enrich the quality of life for our community by providing a variety of recreation activities, parks, and facilities that promote health and wellness, learning, and fun. ",Yes,Recreation/parks/Trails/greenways,,,,https://www.haywardrec.org/27/About-Us,,
DIST_REG_Heber Public Utility District,To provide our community excellent services at economical rates.,Yes,Watershed protection,Recreation/parks/Trails/greenways,,,http://www.heber.ca.gov/,,
DIST_REG_Highlands Recreation District,"The Highlands Recreation District is dedicated to providing beneficial, safe and enriching programs and services to the Highlands Community.",Yes,Recreation/parks/Trails/greenways,,,,https://highlandsrec.ca.gov/about-us,,
DIST_REG_Hills Ferry Cemetery District,,No,Cultural,,,,https://www.findagrave.com/cemetery/290379/hills-ferry-cemetery,,
DIST_REG_Imperial Irrigation District,"The Imperial Irrigation District is a fiscally responsible public agency whose mission it is to provide reliable, efficient and affordably priced water and energy service to the communities it serves.",Yes,Watershed protection,Energy ,,,https://www.iid.com/,,
DIST_REG_Isla Vista Recreation and Park District,"The Mission of the District is to enhance, improve and protect the quality of life in the community through the maintenance and improvement of parks, and the organization and administration of Recreation Programs. The District will contribute to the health, enjoyment and thriving satisfaction of the people and to the safety, cleanliness and beauty of the environment, its flora and fauna.",Yes,Recreation/parks/Trails/greenways,,,,http://www.ivparks.org/,,
DIST_REG_Jamestown Cemetery District,,No,Cultural,,,,https://www.anyplaceamerica.com/directory/ca/tuolumne-county-06109/cemeteries/jamestown-cemetery-1785557/,,"""A place or area for burying the dead""… not the mission statement but very straightforward "
DIST_REG_Joshua Tree Park and Recreation District,"The Special Districts Department promotes safe, healthy, enjoyable and dynamic communities by providing essential programs and municipal services that meet the current and future needs of the communities served.",Yes,Recreation/parks/Trails/greenways,,,County of San Bernardino,http://joshuatreerecandpark.org/?fbclid=IwAR2PlPMCb2EmXoOMEq2F11vDEe2D6cwKw9K2dXEIuICd7UtRRAEOFIWx3Go,,
DIST_REG_Jurupa Area Recreation and Park District,,No,Recreation/parks/Trails/greenways,,,,https://www.jarpd.org/,Yes,No mission but charter: To provide parks and recreational facilities for current and future families in the 91752 and 92509 zip code areas.
DIST_REG_Jurupa Community Services District,,No,Watershed protection,,,,https://www.jcsd.us/,,
DIST_REG_King City Cemetery District,,No,,,,,https://www.findagrave.com/cemetery/209059/king-city-cemetery,,
DIST_REG_Kingsburg Cemetery District,Our mission is to provide burial and funeral services and support for the community of the Kingsburg Cemetery District,Yes,Cultural,,,,https://kingsburgcemetery.specialdistrict.org/our-mission,,
DIST_REG_Kinneloa Irrigation District,,No,,,,,https://www.kinneloairrigationdistrict.info/,,
DIST_REG_La Canada Irrigation District,"Our mission is to provide our current and future customers with a reliable, quality water supply in the most cost-efficient and environmentally responsible manner.",Yes,,,,,https://www.lacanadaid.org/,,
DIST_REG_La Selva Beach Recreation District,"The District is here to serve the residents of La Selva Beach in a respectful, just, and organized manner, to bring services to the area otherwise not previously provided, and to aid in whatever way possible to better the community's health, vibrancy, and well-being. ",Yes,Recreation/parks/Trails/greenways,,,,https://www.lsbrd.org/our-purpose,,
DIST_REG_Ladera Recreation District,"The Ladera Recreation District’s mission is to provide a clean, safe recreational environment in which members can exercise, socialize, relax, and develop lasting friendships through a variety of social events, traditions, and leisure activities. Our goal is to operate a financially stable, effective, and efficient recreation facility, with a pledge to be responsive and flexible to our members’ concerns and needs, as well as to the needs of the Ladera community.",Yes,Recreation/parks/Trails/greenways,,,,https://www.laderarec.org/our-mission,,
DIST_REG_Lake Cuyamaca Park and Recreation District,,No,Recreation/parks/Trails/greenways,,,,https://www.lakecuyamaca.net/,,
DIST_REG_Lake Shastina Community Services District,"To protect the public health, safety, and environment of our constituents by providing high quality water, wastewater, and public safety services in an ethical, safe, efficient, and financially responsible manner.",Yes,Recreation/parks/Trails/greenways,,,,https://www.lakeshastina.com/lscsdinfo.htm,,
DIST_REG_Lancaster Cemetery District,,No,Cultural,,,,https://lancastercemetery.net/,,
DIST_REG_Lindsay-Strathmore Cemetery District,,No,Cultural,Open space,,,https://lindsaycemetery.com/,,24 acres dedicated to orange groves
DIST_REG_Littlerock Creek Irrigation District,,No,Watershed protection,,,,https://www.lrcid.com/,,
DIST_REG_Lompoc Cemetery District,"Within the parameters of our authority, resources and ability. Our mission is to provide a cost
effective interment of human remains consistent with the needs of those we serve; and
to maintain an attractive, safe and serene environment for our wards, community, families and friends",Yes,Cultural,,,,https://www.lompoccemetery.com/,,
DIST_REG_Los Alamos Cemetery District,,No,Cultural,,,,http://www.sblafco.org/directory/cemetery_los_alamos.sbc,,
DIST_REG_Los Angeles County Flood Control District,,No,,,, Los Angeles County Department of Public Works,https://dpw.lacounty.gov/LACFCD/web/,,
DIST_REG_Los Angeles County Metropolitan Transportation Authority,"To provide a world-class transportation system that enhances quality of life for all who live, work and play within LA County.",Yes,Energy ,Other,,,https://www.metro.net/about/about-metro/,Yes,Providing transportation
DIST_REG_Los Angeles Unified School District,"Embracing our diversity to educate L.A.'s youth, ensure academic achievement and empower tomorrow's leaders. We are L.A. Unified.",Yes,Cultural,,,,https://achieve.lausd.net/strategies,,
DIST_REG_Los Banos Cemetery District,The Los Banos Cemetery Staff and Board of Trustees are committed to the celebration of the lives lived through the establishment of quality cemetery facilities and services. It is our mission to provide respectful and affordable interment services while maintaining a safe and comforting environment for guests to visit. ,Yes,Cultural,,,,https://losbanoscemetery.specialdistrict.org/our-mission,,
DIST_REG_Madera Irrigation District,The mission of the Madera Irrigation District is to obtain and manage affordable surface water and groundwater supplies in a manner which will ensure the long-term viability of irrigated agriculture in the District.,Yes,Watershed protection,,,,https://www.madera-id.org/,,
DIST_REG_Manila Community Services District,,No,Watershed protection,,,,http://www.manilacsd.com/,,
DIST_REG_Marin Public Works Dept/Flood Control,"The Marin County Department of Public Works' mission is to provide the community with quality services, maintain and improve our public infrastructure and facilities, and support the preservation of Marin’s unsurpassed beauty.",Yes,Watershed protection,,,,https://www.marincounty.org/depts/pw/divisions/creeks-bay-and-flood/flood-control,,
DIST_REG_McCloud Community Services District,"McCloud Community Services District will strive to provide the full range of municipal services, at a reasonable cost applied consistently to all customers, while maintaining a healthy infrastructure and environmental integrity.",Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://ci.mccloudcsd.ca.us/,,
DIST_REG_McFarland Recreation and Park District,,No,Recreation/parks/Trails/greenways,,,,http://www.mcfarlandrpd.com/,,
DIST_REG_McKinleyville Community Services District,"Our mission is to provide McKinleyville with safe and reliable water, wastewater, lighting, open space, parks and recreation, and library services in an environmentally and fiscally responsible manner.",Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://www.mckinleyvillecsd.com/our-mission,,
DIST_REG_Merced Cemetery District,,No,Cultural,,,,https://www.co.merced.ca.us/1329/Cemetery-District-Boards,,
DIST_REG_Mission Oaks Recreation and Park District,Mission Oaks Recreation and Park District provides unique neighborhood destinations for recreation and personal enrichment.,Yes,Recreation/parks/Trails/greenways,,,,https://www.morpd.com/about-the-district,,
DIST_REG_Modesto Irrigation District,"To deliver superior value to our irrigation, electric and domestic water customers through teamwork, technology and innovation.",Yes,Watershed protection,Energy ,,,https://www.mid.org/water/irrigation/mid-irrigation-rules-regs.pdf,,
DIST_REG_Monte Rio Recreation and Park District,The Monte Rio Recreation & Park District’s mission is to provide opportunities for recreation through development of facilities and activities for residents and visitors while insuring stewardship of the land and water.,Yes,Recreation/parks/Trails/greenways,,,,https://www.mrrpd.org/mission/,,
DIST_REG_Monterey Peninsula Regional Park District,"To acquire and maintain open space in the District for preservation and use, working with partners and the community, for public benefit, enjoyment and environmental protection.",Yes,Open space,Recreation/parks/Trails/greenways,,,https://www.mprpd.org/about-the-district,,
DIST_REG_Morongo Valley Community Services District,"The mission of the District is to respond to the needs of its citizens and represent them, as a group, at local and regional levels in solving local problems affecting the common good. ",Yes,Cultural,,,,https://morongocsd.specialdistrict.org/our-mission-statement,,
DIST_REG_Moss Landing Harbor District,"The mission of the Moss Landing Harbor District is to provide a functional, visitor-friendly harbor for commercial and recreational use.",Yes,Watershed protection,,,,http://www.mosslandingharbor.dst.ca.us/aboutUs.html,,
DIST_REG_Mountain House Community Services District,,No,Cultural,,,,https://www.mountainhousecsd.org/about-us,,
DIST_REG_Mt. Shasta Recreation and Park District,"The Mt. Shasta Recreation and Parks District was organized on June 21, 1948 and is the community leader in providing diverse recreational opportunities and facilities through stewardship and partnership.",Yes,Recreation/parks/Trails/greenways,,,,https://www.msrec.org/our-mission,,
DIST_REG_Napa County Regional Park and Open Space District,"The mission of the Napa County Regional Park and Open Space District is to protect, restore, enhance and steward the open space resources of Napa County, and to provide opportunities for the public to learn about, appreciate and enjoy these resources.",Yes,Recreation/parks/Trails/greenways,,,,file:///C:/Users/ehard/Downloads/348381.pdf,Yes,Stated on a PDF not on the website
DIST_REG_Native Habitat Preservation Authority,"The Puente Hills Habitat Preservation Authority (Habitat Authority) is dedicated to the acquisition, restoration, and management of open space in the Puente Hills for preservation of the land in perpetuity, with the primary purpose to protect the biological diversity. Additionally, the agency will endeavor to provide opportunities for outdoor education and low-impact recreation.",Yes,Wildlife habitat,Open space,,,https://www.habitatauthority.org/about-us/,Yes,Name is Puento Hills Habitat Preservation Authority
DIST_REG_Natomas Basin Conservancy,The Conservancy acquires and manages land for the purpose of meeting the objectives of the Natomas Basin Habitat Conservation Plan.,Yes,Wildlife habitat,,,,https://www.natomasbasin.org/about/mission/,,
DIST_REG_Nevada Irrigation District,"The District will provide a dependable, quality water supply; continue to be good stewards of the watersheds, while conserving the available resources in our care.",Yes,Watershed protection,,,,http://one.nidwater.com/,,
DIST_REG_North County Fire District,"The Mission of North County Fire Protection District is to meet our community’s expectations through excellence in public safety and service. It is our shared vision to be a trusted and respected public safety leader, committed to ensuring the safest community possible through service, collaboration and innovation. We are dedicated to saving lives and protecting property.",Yes,Cultural,Other,,,https://www.ncfire.org/our-mission-vision-and-values,Yes,Fire protection
DIST_REG_North County Recreation and Park District,"Strengthen community image and sense of place,
Support economic development,
Strengthen safety and security,
Promote health and wellness,
Foster human development,
Increase cultural unity
Protect environmental resources,
Provide recreational experiences,
Facilitate community problem solving",Yes,Recreation/parks/Trails/greenways,Cultural,,,http://www.ncrpd.org/about/,,
DIST_REG_North County Transit District,"To deliver safe, convenient, reliable, and user-friendly public transportation services.",Yes,Energy ,Other,Cultural,,https://gonctd.com/about-nctd/about-us/,Yes,Transporation
DIST_REG_North Highland Recreation and Park District,"To help enrich and fulfill the lives of the citizens through the provision of facilities and programs that will provide and enhance creative, wholesome and imaginative leisure time living patterns with emphasis on family and youth oriented programs.",Yes,Recreation/parks/Trails/greenways,,,,https://www.nhrpd.org/about-us,,
DIST_REG_North Tahoe Public Utilities District,"To be effective environmental stewards through the provision of efficient, safe and accountable water and sewer service; and to provide, promote and support local and regional recreation and event facilities and activities for residents and visitors that enhance the well-being of our community.",Yes,Watershed protection,,,,https://ntpud.org/about-ntpud,,
DIST_REG_North of the River Recreation and Park District,To provide recreation programs and facilities for the benefit of the North of the River community.,Yes,Recreation/parks/Trails/greenways,,,,https://www.norfun.org/about-us,,
DIST_REG_Novato Sanitary District,"Novato Sanitary District provides responsible, environmental, and economical wastewater and solid waste resource management for Novato.",Yes,Watershed protection,,,,https://www.novatosan.com/about-nsd/our-history-and-mission,,
DIST_REG_Oak Grove Cemetery District,Our mission is to honor families by providing a friendly resting place for loved ones.,Yes,Cultural,,,,https://ogcd.specialdistrict.org/our-mission,,
DIST_REG_Oak Hill Cemetery District,,No,Cultural,,,,http://www.sblafco.org/directory/cemetery_oak_hill.sbc,,
DIST_REG_Olivehurst Public Utility District,Olivehurst Public Utility District mission is to provide high quality services to enhance our community’s quality of life,Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://www.opud.org/opud-services,,
DIST_REG_Orange County Cemetery District,"The Orange County Cemetery District is an independent special district of Orange County whose mission is to manage and maintain Orange County's public cemeteries in a manner that preserves their beauty, dignity, historical and cultural values, and offers affordable interment services for county residents.",Yes,Cultural,,,,https://www.occemeterydistrict.com/section.cfm?id=90,,
DIST_REG_Orangevale Recreation and Park District,"To provide recreational experiences to individuals, families and communities by:

fostering human development
providing safe, secure and well-maintained parks and facilities
connecting communities through trails
promoting health and wellness
increasing cultural unity
facilitating community problem solving
protecting natural resources
strengthening community image and sense of place
supporting economic development",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.ovparks.com/about/,,
DIST_REG_Pajaro Community Services District,,No,Watershed protection,Recreation/parks/Trails/greenways,,,http://pajarosunnymesa.com/,,
DIST_REG_Pajaro Valley Public Cemetery District,"The mission of the Pajaro Valley Public Cemetery District is to provide efficient cost effective burial services for the community,and provide maintenance to the cemeteries in A respectable, clean and safe manner that appropriately honors the loved ones of family, friends and the community at large. ",Yes,Cultural,,,,https://pajarocemetery.specialdistrict.org/our-mission,,
DIST_REG_Paradise Recreation and Park District,"We Create Community and Quality of Life Through People, Parks and Programs.",Yes,Recreation/parks/Trails/greenways,,,,https://www.paradiseprpd.com/our-mission,,
