mentity,acres_in_partership
"LOC_CITY_Rolling Hills, City of",0
"LOC_CITY_Port Hueneme, City of",0
"LOC_CITY_Rosemead, City of",0
"LOC_CITY_Yorba Linda, City of",0
"LOC_CITY_Roseville, City of",0
"LOC_CNTY_Fresno, County of",0
"LOC_CITY_Ross, Town of",0
"LOC_CNTY_Merced, County of",0
"LOC_CITY_Sacramento, City of",0
"LOC_CNTY_San Francisco, City and County of",0
"LOC_CITY_Sage, CA",0
"LOC_CNTY_Stanislaus, County of",0
"LOC_CITY_Saint Helena, City of",0
"LOC_CITY_Paso Robles, City of",0
"LOC_CITY_Salinas, City of",0
"LOC_CITY_Westlake Village, City of",0
"LOC_CITY_San Anselmo, City of",0
"LOC_CITY_Windsor, Town of",0
"LOC_CITY_San Bernardino, City of",0
"LOC_CITY_Porterville, City of",0
"LOC_CITY_San Bruno, City of",0
"LOC_CNTY_Contra Costa Department of Conservation and Development, County of",0
"LOC_CITY_San Carlos, City of",0
"LOC_CNTY_Inyo, County of",0
"LOC_CITY_San Clemente, City of",0
"LOC_CNTY_Marin County Parks Department, County of",0
LOC_CITY_San Diego Redevelopment Agency,0
"LOC_CNTY_Napa, County of",0
"LOC_CITY_Pico Rivera, City of",0
"LOC_CNTY_San Benito, County of",0
"LOC_CITY_San Dimas, City of",0
"LOC_CITY_Paradise, City of",0
"LOC_CITY_San Fernando, City of",0
"LOC_CNTY_Sonoma County Regional Parks Department, CA",0
"LOC_CITY_San Gabriel, City of",0
"LOC_CNTY_Tulare, County of",0
"LOC_CITY_San Jacinto, City of",0
"LOC_CITY_Ridgecrest, City of",0
"LOC_CITY_San Joaquin, City of",0
"LOC_CITY_Ripon, City of",0
"LOC_CITY_San Jose, City of",0
"LOC_CITY_West Hollywood, City of",0
"LOC_CITY_San Juan Bautista, City of",0
"LOC_CITY_Wheatland, City of",0
"LOC_CITY_San Juan Capistrano, City of",0
"LOC_CITY_Willits, City of",0
"LOC_CITY_San Leandro, City of",0
"LOC_CITY_Woodlake, City of",0
"LOC_CITY_Placentia, City of",0
"LOC_CITY_Yreka, City of",0
"LOC_CITY_San Marcos, City of",0
"LOC_CNTY_Amador, County of",0
"LOC_CITY_San Marino, City of",0
"LOC_CITY_Portola, City of",0
"LOC_CITY_San Mateo, City of",0
"LOC_CNTY_Del Norte County Parks, County of",0
"LOC_CITY_San Pablo, City of",0
"LOC_CNTY_Humboldt, County of",0
"LOC_CITY_San Rafael, City of",0
"LOC_CITY_Riverside, City of",0
"LOC_CITY_San Ramon, City of",0
"LOC_CITY_Rancho Cordova, City of",0
"LOC_CITY_Sand City, City of",0
"LOC_CNTY_Mariposa, County of",0
"LOC_CITY_Sanger, City of",0
"LOC_CITY_Palmdale, City of",0
"LOC_CITY_Santa Ana, City of",0
"LOC_CNTY_Orange County Department of Education, County of",0
"LOC_CITY_Riverbank, City of",0
"LOC_CITY_Red Bluff, City of",0
"LOC_CITY_Santa Clara, City of",0
"LOC_CITY_Palos Verdes Estates, City of",0
"LOC_CITY_Placerville, City of",0
"LOC_CNTY_San Luis Obispo, County of",0
"LOC_CITY_Santa Cruz, City of",0
"LOC_CITY_Redwood City, City of",0
"LOC_CITY_Santa Fe Springs, City of",0
"LOC_CNTY_Siskiyou, County of",0
"LOC_CITY_Santa Maria, City of",0
"LOC_CNTY_Sonoma County Water Agency, CA",0
"LOC_CITY_Santa Monica, City of",0
"LOC_CNTY_Tehama, County of",0
"LOC_CITY_Santa Paula, City of",0
"LOC_CNTY_Ventura, County of",0
"LOC_CITY_Pleasant Hill, City of",0
"LOC_CITY_Parlier, City of",0
"LOC_CITY_Santee, CA",0
"LOC_CITY_Rio Dell, City of",0
"LOC_CITY_Santee, City of",0
NGO_NGO_Arroyos and Foothills Conservancy,0
"LOC_CITY_Saratoga, City of",0
NGO_NGO_Friends of Los Penasquitos Canyon Preserve,0
"LOC_CITY_Sausalito, City of",0
"LOC_CITY_West Covina, City of",0
"LOC_CITY_Scotts Valley, City of",0
"LOC_CITY_West Sacramento, City of",0
"LOC_CITY_Seal Beach, City of",0
"LOC_CITY_Westminster, City of",0
"LOC_CITY_Seaside, City of",0
"LOC_CITY_Whittier, City of",0
"LOC_CITY_Sebastopol, City of",0
"LOC_CITY_Williams, City of",0
"LOC_CITY_Selma, City of",0
"LOC_CITY_Willows, City of",0
"LOC_CITY_Shafter, City of",0
"LOC_CITY_Winters, City of",0
"LOC_CITY_Shasta Lake, City of",0
"LOC_CITY_Woodland, City of",0
"LOC_CITY_Sierra Madre, City of",0
"LOC_CITY_Yountville, Town of",0
"LOC_CITY_Signal Hill, City of",0
"LOC_CITY_Yuba City, City of",0
"LOC_CITY_Solana Beach, City of",0
"LOC_CITY_Yucca Valley, Town of",0
"LOC_CITY_Soledad, City of",0
"LOC_CNTY_Butte, County of",0
"LOC_CITY_Solvang, City of",0
"LOC_CITY_Portola Valley, City of",0
"LOC_CITY_Sonoma, City of",0
"LOC_CITY_Pittsburg, City of",0
"LOC_CITY_Sonora, City of",0
"LOC_CNTY_Contra Costa, County of",0
"LOC_CITY_South El Monte, City of",0
"LOC_CNTY_El Dorado, County of",0
"LOC_CITY_South Gate, City of",0
"LOC_CNTY_Humboldt - Public Works Department, County of",0
"LOC_CITY_South Lake Tahoe, City of",0
"LOC_CNTY_Imperial, County of",0
"LOC_CITY_South Pasadena, City of",0
"LOC_CNTY_Kern, County of",0
"LOC_CNTY_Kings, County of",0
"LOC_CNTY_Lassen, County of",0
"LOC_CITY_South San Francisco, City of",0
"LOC_CNTY_Los Angeles County Department of Beaches and Harbors, County of",0
"LOC_CITY_Stanton, City of",0
"LOC_CNTY_Los Angeles Department of Public Works, County of",0
"LOC_CITY_Stockton, City of",0
"LOC_CNTY_Madera, County of",0
"LOC_CITY_Suisun City, City of",0
"LOC_CNTY_Marin, County of",0
"LOC_CITY_Sunnyvale, City of",0
"LOC_CNTY_Mendocino, County of",0
"LOC_CITY_Susanville, City of",0
"LOC_CITY_Rancho Cucamonga, City of",0
"LOC_CITY_Sutter Creek, City of",0
"LOC_CNTY_Monterey, County of",0
"LOC_CITY_Tehama, City of",0
"LOC_CNTY_Nevada, County of",0
"LOC_CITY_Temecula, CA",0
"LOC_CITY_Rancho Palos Verdes, City of",0
"LOC_CITY_Temecula, City of",0
"LOC_CNTY_Placer, County of",0
"LOC_CITY_Temple City, City of",0
"LOC_CNTY_Sacramento, County of",0
"LOC_CITY_Thousand Oaks, City of",0
"LOC_CITY_Piedmont, City of",0
"LOC_CITY_Tiburon, Town of",0
"LOC_CITY_Redding, City of",0
"LOC_CITY_Torrance, City of",0
"LOC_CNTY_San Joaquin, County of",0
"LOC_CITY_Tracy, City of",0
"LOC_CITY_Redlands, City of",0
"LOC_CITY_Trinidad, City of",0
"LOC_CITY_Redondo Beach, City of",0
"LOC_CITY_Tulare, City of",0
"LOC_CITY_Reedley, City of",0
"LOC_CITY_Tulelake, City of",0
"LOC_CNTY_Sierra, County of",0
NGO_NGO_Back Country Land Trust,0
"LOC_CNTY_Solano, County of",0
NGO_NGO_Ballona Ecosystem Education Project,0
"LOC_CITY_Paramount, City of",0
"LOC_CITY_Pismo Beach, City of",0
"LOC_CNTY_Sonoma County, CA",0
NGO_NGO_Cache Creek Conservancy,0
"LOC_CNTY_Sutter, County of",0
NGO_NGO_California Biological Field Studies Association,0
"LOC_CNTY_Trinity, County of",0
"LOC_CITY_Patterson, City of",0
"LOC_CNTY_Tuolumne, County of",0
"LOC_CITY_Pleasanton, City of",0
LOC_CNTY_Washoe County,0
NGO_NGO_City Slicker Farms,0
"LOC_CNTY_Yuba, County of",0
NGO_NGO_Community Environmental Council,0
"LOC_CITY_Richmond, City of",0
NGO_NGO_Ducks Unlimited (Wetlands America Trust),0
NGO_NGO_Agri-Culture,0
NGO_NGO_El Monte Cemetery Association,0
"LOC_CITY_Rio Vista, City of",0
NGO_NGO_Elkhorn Slough Foundation,0
NGO_NGO_Anza-Borrego Foundation,0
NGO_NGO_Escondido Creek Conservancy,0
"LOC_CITY_Pinole, City of",0
"LOC_CITY_Pomona, City of",0
NGO_NGO_Forestville Park Development District,0
NGO_NGO_Batiquitos Lagoon Foundation,0
NGO_NGO_Bodega Land Trust,0
NGO_NGO_Boys & Girls Clubs of South County,0
"LOC_CITY_Turlock, City of",0
NGO_NGO_Boy Scouts of America,0
"LOC_CITY_Tustin, City of",0
NGO_NGO_Brentwood Agricultural Land Trust,0
"LOC_CITY_Ukiah, City of",0
NGO_NGO_California Academy of Sciences,0
"LOC_CITY_Union City, City of",0
NGO_NGO_California Institute of Technology,0
"LOC_CITY_Upland, City of",0
NGO_NGO_Cascade Ranch Historic Farm,0
"LOC_CITY_Vacaville, CA",0
NGO_NGO_Central Valley Farmland Trust,0
"LOC_CITY_Vacaville, City of",0
NGO_NGO_Coastside Land Trust,0
"LOC_CITY_Vallejo, City of",0
NGO_NGO_Del Monte Forest Foundation,0
"LOC_CITY_Ventura, City of",0
"LOC_CITY_Perris, City of",0
"LOC_CITY_Victorville, City of",0
NGO_NGO_Elings Park Foundation,0
NGO_NGO_Friends of the Dunes,0
NGO_NGO_Endangered Habitats Conservancy,0
"LOC_CITY_Vista, City of",0
NGO_NGO_Fallbrook Land Conservancy,0
"LOC_CITY_Walnut Creek, City of",0
NGO_NGO_Fond Land Preservation Foundation,0
"LOC_CITY_Walnut, City of",0
NGO_NGO_Foundation for Preservation of Mt. Helix Nature Theatre,0
"LOC_CITY_Waterford, City of",0
"LOC_CITY_Petaluma, CA",0
"LOC_CITY_Watsonville, City of",0
"LOC_CITY_Weed, City of",0
"LOC_CITY_Visalia, City of",0
"LOC_CITY_Garden Grove, City of",0
"LOC_CITY_Lompoc, City of",0
"LOC_CITY_Ione, City of",0
"LOC_CITY_Arroyo Grande, City of",0
"LOC_CITY_Moreno Valley, City of",0
"LOC_CITY_Artesia, City of",0
"LOC_CITY_Healdsburg, City of",0
"LOC_CITY_Arvin, City of",0
"LOC_CITY_Lakewood, City of",0
"LOC_CITY_Atascadero, City of",0
"LOC_CITY_Manhattan Beach, City of",0
"LOC_CITY_Atherton, Town of",0
"LOC_CITY_Oakdale, City of",0
"LOC_CITY_Atwater, City of",0
"LOC_CITY_Greenfield, City of",0
"LOC_CITY_Auburn, City of",0
"LOC_CITY_Holtville, City of",0
"LOC_CITY_Avalon, City of",0
"LOC_CITY_Arcata, City of",0
"LOC_CITY_La Canada Flintridge, City of",0
"LOC_CITY_Avenal, City of",0
"LOC_CITY_Lindsay, City of",0
"LOC_CITY_Azusa, City of",0
"LOC_CITY_Angels Camp, City of",0
"LOC_CITY_Bakersfield, City of",0
"LOC_CITY_Menifee, City of",0
"LOC_CITY_Baldwin Park, City of",0
"LOC_CITY_Needles, City of",0
"LOC_CITY_Banning, City of",0
"LOC_CITY_Orinda, City of",0
"LOC_CITY_Barstow, City of",0
"LOC_CITY_Goleta, City of",0
"LOC_CITY_Beaumont, City of",0
"LOC_CITY_Gustine, City of",0
"LOC_CITY_Bell Gardens, City of",0
"LOC_CITY_Hesperia, City of",0
"LOC_CITY_Bell, City of",0
"LOC_CITY_Imperial Beach, City of",0
"LOC_CITY_Bellflower, City of",0
"LOC_CITY_Jackson, City of",0
"LOC_CITY_Belmont, City of",0
"LOC_CITY_La Mirada, City of",0
"LOC_CITY_Belvedere, City of",0
"LOC_CITY_Laguna Niguel, City of",0
"LOC_CITY_Benicia, City of",0
"LOC_CITY_Lawndale, City of",0
"LOC_CITY_Berkeley, City of",0
"LOC_CITY_Livingston, City of",0
"LOC_CITY_Beverly Hills, City of",0
"LOC_CITY_Los Altos Hills, Town of",0
"LOC_CITY_Big Bear Lake, City of",0
"LOC_CITY_Lynwood, City of",0
"LOC_CITY_Bishop, City of",0
"LOC_CITY_Marysville, City of",0
"LOC_CITY_Blue Lake, City of",0
"LOC_CITY_Millbrae, City of",0
"LOC_CITY_Blythe, City of",0
"LOC_CITY_Mountain View, City of",0
"LOC_CITY_Bradbury, City of",0
"LOC_CITY_Newport Beach, City of",0
"LOC_CITY_Brawley, City of",0
"LOC_CITY_Ojai, City of",0
"LOC_CITY_Brea, City of",0
"LOC_CITY_Pacific Grove, City of",0
"LOC_CITY_Brentwood, City of",0
"LOC_CITY_Gilroy, City of",0
"LOC_CITY_Brisbane, City of",0
"LOC_CITY_Grand Terrace, City of",0
"LOC_CITY_Buellton, City of",0
"LOC_CITY_Grover Beach, City of",0
"LOC_CITY_Buena Park, City of",0
"LOC_CITY_Hanford, City of",0
"LOC_CITY_Burbank, City of",0
"LOC_CITY_Hercules, City of",0
"LOC_CITY_Burlingame, City of",0
"LOC_CITY_Hillsborough, Town of",0
"LOC_CITY_Calabasas, City of",0
"LOC_CITY_Huntington Beach, City of",0
"LOC_CITY_Calexico, City of",0
"LOC_CITY_Indio, City of",0
"LOC_CITY_California City, City of",0
"LOC_CITY_Irwindale, City of",0
"LOC_CITY_Calimesa, City of",0
"LOC_CITY_King City, City of",0
"LOC_CITY_Calipatria, City of",0
"LOC_CITY_La Habra, City of",0
"LOC_CITY_Calistoga, City of",0
"LOC_CITY_La Puente, City of",0
"LOC_CITY_Campbell, City of",0
"LOC_CITY_Laguna Beach, City of",0
"LOC_CITY_Canyon Lake, City of",0
"LOC_CITY_Lake Forest, City of",0
"LOC_CITY_Capitola, City of",0
"LOC_CITY_Larkspur, City of",0
"LOC_CITY_Carlsbad, City of",0
"LOC_CITY_Lemoore, City of",0
"LOC_CITY_Carmel-by-the-Sea, City of",0
"LOC_CITY_Livermore, CA",0
"LOC_CITY_Carpinteria, City of",0
"LOC_CITY_Loma Linda, City of",0
"LOC_CITY_Carson, City of",0
"LOC_CITY_Loomis, Town of",0
"LOC_CITY_Cathedral City, City of",0
"LOC_CITY_Anderson, City of",0
"LOC_CITY_Ceres, City of",0
"LOC_CITY_Los Gatos, Town of",0
"LOC_CITY_Cerritos, City of",0
"LOC_CITY_Malibu, City of",0
"LOC_CITY_Chico, City of",0
"LOC_CITY_Marina, City of",0
"LOC_CITY_Chino Hills, City of",0
"LOC_CITY_McFarland, City of",0
"LOC_CITY_Chino, City of",0
"LOC_CITY_Merced, City of",0
"LOC_CITY_Chowchilla, City of",0
"LOC_CITY_Mission Viejo, City of",0
"LOC_CITY_Chula Vista, City of",0
"LOC_CITY_Morro Bay, City of",0
"LOC_CITY_Claremont, City of",0
"LOC_CITY_Napa, City of",0
"LOC_CITY_Clayton, City of",0
"LOC_CITY_Newark, City of",0
"LOC_CITY_Clearlake, City of",0
"LOC_CITY_Norwalk, City of",0
"LOC_CITY_Aliso Viejo, City of",0
"LOC_CITY_Oakley, City of",0
"LOC_CITY_Clovis, City of",0
"LOC_CITY_Orange Cove, City of",0
"LOC_CITY_Coachella, City of",0
"LOC_CITY_Oroville, City of",0
"LOC_CITY_Coalinga, City of",0
"LOC_CITY_Anaheim, City of",0
"LOC_CITY_Colfax, City of",0
"LOC_CITY_Gardena, City of",0
"LOC_CITY_Colton, City of",0
"LOC_CITY_Arcadia, City of",0
"LOC_CITY_Glendale, City of",0
"LOC_CITY_Colusa, City of",0
"LOC_CITY_Gonzales, City of",0
"LOC_CITY_Commerce, City of",0
"LOC_CITY_Grass Valley, City of",0
"LOC_CITY_Compton, City of",0
"LOC_CITY_Gridley, City of",0
"LOC_CITY_Concord, City of",0
"LOC_CITY_Guadalupe, City of",0
"LOC_CITY_Corcoran, City of",0
"LOC_CITY_Half Moon Bay, City of",0
"LOC_CITY_Corning, City of",0
"LOC_CITY_Hawthorne, City of",0
"LOC_CITY_Corona, City of",0
"LOC_CITY_Hemet, City of",0
"LOC_CITY_Coronado, City of",0
"LOC_CITY_Hermosa Beach, City of",0
"LOC_CITY_Corte Madera, Town of",0
"LOC_CITY_Highland, City of",0
"LOC_CITY_Costa Mesa, City of",0
"LOC_CITY_Hollister, City of",0
"LOC_CITY_Cotati, City of",0
"LOC_CITY_Hughson, City of",0
"LOC_CITY_Covina, City of",0
"LOC_CITY_Huntington Park, City of",0
"LOC_CITY_Crescent City, City of",0
"LOC_CITY_Imperial, City of",0
"LOC_CITY_Cudahy, City of",0
"LOC_CITY_Inglewood, City of",0
"LOC_CITY_Culver City, City of",0
"LOC_CITY_Irvine, City of",0
"LOC_CITY_Cupertino, City of",0
"LOC_CITY_Isleton, City of",0
"LOC_CITY_Cypress, City of",0
"LOC_CITY_Kerman, City of",0
"LOC_CITY_Daly City, City of",0
"LOC_CITY_Kingsburg, City of",0
"LOC_CITY_Dana Point, City of",0
"LOC_CITY_La Habra Heights, City of",0
"LOC_CITY_Danville, Town of",0
"LOC_CITY_La Mesa, City of",0
"LOC_CITY_Davis, CA",0
"LOC_CITY_La Palma, City of",0
"LOC_CITY_Davis, City of",0
"LOC_CITY_La Quinta, City of",0
"LOC_CITY_Del Mar, City of",0
"LOC_CITY_Lafayette, City of",0
